epoch,time,discriminatorLoss,generatorLoss
0,28.86127734184265,0.00013301514263730496,10.574222564697266
1,19.853591918945312,0.004637141712009907,14.44023609161377
2,19.566439151763916,0.00019275626982562244,14.624509811401367
3,20.56867265701294,0.0012309353332966566,11.985051155090332
4,19.36781644821167,6.0282683989498764e-05,15.520883560180664
5,21.861348628997803,2.180048613809049e-05,18.15903091430664
6,19.800910472869873,1.9696211893460713e-05,19.58294105529785
7,19.457820892333984,9.282696737500373e-06,20.395288467407227
8,20.4490225315094,5.654288997902768e-06,22.422977447509766
9,19.454278707504272,5.037187293055467e-06,22.256576538085938
10,20.224153995513916,2.985188530146843e-06,23.08431625366211
11,20.24671483039856,8.519061225342739e-07,22.757259368896484
12,19.681087255477905,1.6193836245292914e-06,24.0548038482666
13,20.653153896331787,8.780869507063471e-07,24.59896469116211
14,19.46852970123291,9.361953061670647e-07,24.0723819732666
15,20.654736518859863,0.00011899742094101384,17.80512237548828
16,19.433573007583618,7.75315857026726e-05,19.176782608032227
17,25.24453616142273,0.00011142798757646233,17.108211517333984
18,19.51754879951477,3.729647141881287e-05,17.529813766479492
19,20.4848952293396,7.691218343097717e-06,18.679244995117188
20,19.74113702774048,7.397514309559483e-06,20.03351593017578
21,19.427397966384888,6.986968401179183e-06,18.510282516479492
22,20.662099361419678,3.2227608244284056e-06,21.319040298461914
23,19.5771906375885,1.3252472399472026e-06,22.24191665649414
24,20.000727891921997,1.265302444153349e-06,22.544462203979492
25,20.019803524017334,2.074355734293931e-06,29.841415405273438
26,19.50368046760559,5.14106905029621e-05,42.5721435546875
27,20.614898920059204,2.560648681537714e-06,41.47793960571289
28,19.225736618041992,2.0909656086587347e-06,39.91155242919922
29,19.826075553894043,9.302379453401954e-07,30.021469116210938
30,19.87792682647705,7.412856461996853e-07,27.47523307800293
31,18.84363842010498,2.6667739803087898e-06,91.12316131591797
32,19.575965404510498,0.00024097117420751601,77.71517181396484
33,18.916006088256836,1.379262016598659e-06,77.47981262207031
34,19.496352672576904,0.0002221688919235021,61.77346420288086
35,19.325305461883545,0.00012196128227515146,19.61371612548828
36,19.21179509162903,3.1783204121893505e-06,18.626922607421875
37,19.01040291786194,1.7734855646267533e-06,26.7064151763916
38,19.093950748443604,3.6265549852032564e-07,26.33951759338379
39,19.32996368408203,7.135469672903128e-07,28.757009506225586
40,19.107818126678467,1.086002953343268e-06,98.7286605834961
41,19.53855323791504,7.164503017520474e-07,99.26409149169922
42,18.733548641204834,2.4557127176194626e-07,97.77140045166016
43,19.6945743560791,9.858732710199547e-07,99.1493911743164
44,18.877013444900513,8.332784204867494e-07,99.08023071289062
45,19.527050495147705,9.107631626648072e-07,100.0
46,18.701124668121338,4.5657520786335226e-07,99.88383483886719
47,19.527393579483032,4.3273101368868083e-07,99.70417785644531
48,18.83276343345642,5.674406224898121e-07,99.61872863769531
49,19.47119402885437,1.47819676499239e-07,99.16939544677734
